time_start,time_end,temperature,precips,clouds
2018-11-13,2018-11-14,"[24, 24, 23, 23, 23, 23, 23, 23.4, 24, 26, 26.4, 27, 28, 29, 31, 31, 29.7, 28, 27, 26.1, 25, 24, 24, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.2, 0.2, 0.3, 0.3, 0.2, 0.1]","[87, 76, 71, 70, 80, 86, 85, 80, 80, 82, 88, 92, 88, 65, 39, 27, 32, 43, 49, 52, 61, 78, 87, 86]"
2018-11-14,2018-11-15,"[23, 23, 23, 23, 23, 23, 22, 22.3, 23, 26, 25.2, 28, 29, 29.2, 30, 31, 30.9, 29, 28, 26.7, 26, 25, 24, 24]","[0.1, 0.1, 0.1, 0.1, 0, 0, 0, 0.1, 0, 0, 0, 0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.2, 0.2, 0.2, 0.1, 0.1, 0.1]","[84, 87, 85, 80, 63, 55, 53, 55, 57, 69, 73, 69, 68, 70, 79, 83, 74, 68, 77, 78, 79, 88, 95, 98]"
2018-11-15,2018-11-16,"[23, 23, 23, 23, 23, 23, 23, 23.1, 24, 25, 26, 28, 30, 29, 30, 30, 28.7, 28, 27, 25.4, 24, 24, 23, 23]","[0.1, 0.1, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0.1, 0.1, 0.2, 0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.2]","[98, 97, 97, 97, 97, 97, 94, 86, 81, 78, 88, 95, 95, 95, 95, 95, 95, 96, 97, 98, 98, 97, 95, 96]"
2018-11-16,2018-11-17,"[23, 23, 22, 22, 22, 22, 22, 23.3, 24, 25, 26.4, 28, None, None, None, None, None, None, None, None, None, None, None, None]","[0.2, 0.3, 0.2, 0.2, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[98, 98, 98, 98, 98, 97, 97, 97, 97, 96, 95, 89, 89, 91, 94, 95, 94, 91, 90, 93, 96, 95, 96, 97]"
2018-11-17,2018-11-18,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.1, 0.1, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[97, 97, 97, 97, 96, 84, 61, 45, 39, 37, 35, 45, 61, 69, 77, 81, 78, 70, 60, 49, 42, 71, 92, 96]"
2018-11-18,2018-11-19,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0, 0, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0.1]","[97, 97, 97, 97, 97, 97, 96, 96, 96, 95, 94, 94, 95, 96, 96, 96, 96, 96, 96, 96, 97, 98, 98, 98]"
2018-11-19,2018-11-20,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[98, 98, 98, 97, 97, 96, 94, 96, 97, 97, 96, 96, 96, 97, 96, 96, 96, 96, 96, 96, 97, 98, 98, 98]"
2018-11-20,2018-11-21,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0.1, 0.1, 0.2, 0.3, 0.3, 0.3, 0.3, 0.2, 0.2, 0.1, 0.1, 0.2]","[98, 98, 98, 97, 96, 93, 92, 89, 84, 83, 84, 84, 88, 93, 90, 85, 84, 84, 87, 80, 81, 85, 86, 87]"
2018-11-21,2018-11-22,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.2, 0.3, 0.3, 0.3, 0.3, 0.2, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2]","[89, 89, 88, 88, 89, 90, 90, 87, 79, 49, 34, 28, 22, 22, 25, 34, 37, 46, 64, 74, 83, 87, 89, 91]"
2018-11-22,2018-11-23,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 29, 27, 25.9, 25, 24, 24, 24]","[0.2, 0.2, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[92, 92, 93, 94, 96, 95, 95, 95, 95, 95, 95, 94, 92, 89, 86, 84, 90, 89, 82, 78, 80, 87, 90, 91]"
2018-11-23,2018-11-24,"[24, 24, 23, 23, 23, 23, 23, 23, 24, 24, 25.6, 27, 27, 27.3, 28, 28, 28.1, 28, 27, 25.9, 26, 25, 25, 24]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[93, 95, 96, 95, 93, 94, 95, 92, 84, 78, 77, 76, 73, 69, 68, 78, 85, 91, 96, 96, 95, 96, 96, 96]"
2018-11-24,2018-11-25,"[24, 24, 24, 23, 23, 23, 23, 23.4, 24, 26, 26.6, 29, 29, 30.9, 31, 30, 30.8, 29, 27, 27, 27, 26, 25, 25]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[96, 97, 97, 97, 96, 96, 96, 96, 95, 95, 93, 80, 78, 78, 77, 66, 53, 57, 70, 84, 90, 93, 95, 95]"
2018-11-25,2018-11-26,"[25, 24, 24, 24, 24, 24, 24, 24.1, 24, 25, 27, 28, 29, 29, 28, 29, 29, 28, 27, 27.2, 26, 26, 25, 25]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[94, 94, 94, 94, 93, 89, 80, 72, 74, 78, 89, 93, 96, 97, 97, 97, 96, 95, 91, 92, 93, 96, 95, 91]"
